k,fullsort_us,fullsort_cv,nearlysort_us,nearlysort_cv,deltasort_us,deltasort_cv
10,1933.97,10.12,1926.11,10.19,7.88,23.13
50,3757.58,3.47,3805.41,6.34,32.81,16.52
100,4864.35,2.85,4921.87,4.39,56.50,8.76
500,7514.62,2.01,7635.08,5.62,217.76,22.98
1000,12643.35,63.99,7527.90,18.15,580.42,103.98
5000,4354.81,32.92,5334.79,36.69,2204.41,35.45
